long,lat,elevat
12.5,43.5559005737305,1238.0
12.5,43.8680992126465,320.0
12.5,46.3660011291504,1988.0
12.5,49.1759986877441,451.0
12.5,50.4249992370605,780.0
12.5,51.673900604248,129.0
12.5,51.9860992431641,122.0
12.5,53.2350006103516,75.0
12.5,57.2939987182617,20.0
12.5,58.5429000854492,58.0
12.5,58.8550987243652,38.0
13.125,42.306999206543,1224.0
13.125,43.5559005737305,187.0
13.125,46.3660011291504,241.0
13.125,49.1759986877441,925.0
13.125,51.673900604248,80.0
13.125,51.9860992431641,100.0
13.125,53.2350006103516,60.0
13.125,57.2939987182617,156.0
13.125,58.5429000854492,59.0
13.125,58.8550987243652,41.0
13.125,60.1040000915527,213.0
13.125,61.3530006408691,500.0
13.75,42.306999206543,389.0
13.75,45.1170997619629,74.0
13.75,46.3660011291504,1458.0
13.75,51.673900604248,115.0
13.75,51.9860992431641,53.0
13.75,53.2350006103516,48.0
13.75,57.2939987182617,264.0
13.75,58.5429000854492,65.0
13.75,58.8550987243652,41.0
13.75,60.1040000915527,190.0
13.75,61.3530006408691,485.0
14.375,36.9990997314453,9.0
14.375,42.306999206543,90.0
14.375,46.3660011291504,1090.0
14.375,51.673900604248,98.0
14.375,51.9860992431641,70.0
14.375,53.2350006103516,19.0
14.375,57.2939987182617,225.0
14.375,58.5429000854492,108.0
14.375,58.8550987243652,178.0
14.375,60.1040000915527,308.0
14.375,61.3530006408691,604.0
14.375,64.1630020141602,913.0
15.0,36.9990997314453,473.0
15.0,45.1170997619629,1027.0
15.0,46.3660011291504,435.0
15.0,51.673900604248,133.0
15.0,51.9860992431641,59.0
15.0,53.2350006103516,30.0
15.0,57.2939987182617,252.0
15.0,58.5429000854492,97.0
15.0,58.8550987243652,145.0
15.0,60.1040000915527,248.0
15.0,61.3530006408691,302.0
15.0,64.1630020141602,515.0
15.0,65.4119033813477,597.0
15.0,65.7240982055664,493.0
15.625,43.8680992126465,24.0
15.625,45.1170997619629,282.0
15.625,46.3660011291504,256.0
15.625,51.673900604248,139.0
15.625,51.9860992431641,51.0
15.625,53.2350006103516,90.0
15.625,57.2939987182617,173.0
15.625,58.5429000854492,68.0
15.625,58.8550987243652,71.0
15.625,60.1040000915527,159.0
15.625,61.3530006408691,201.0
15.625,64.1630020141602,380.0
15.625,65.4119033813477,890.0
15.625,65.7240982055664,659.0
16.25,38.2480010986328,25.0
16.25,43.5559005737305,128.0
16.25,43.8680992126465,434.0
16.25,45.1170997619629,160.0
16.25,46.3660011291504,140.0
16.25,50.4249992370605,402.0
16.25,51.673900604248,84.0
16.25,51.9860992431641,48.0
16.25,53.2350006103516,140.0
16.25,57.2939987182617,80.0
16.25,58.5429000854492,23.0
16.25,58.8550987243652,51.0
16.25,60.1040000915527,112.0
16.25,61.3530006408691,98.0
16.25,64.1630020141602,271.0
16.25,65.4119033813477,383.0
16.25,65.7240982055664,496.0
16.25,66.9730987548828,992.0
16.875,43.5559005737305,599.0
16.875,46.3660011291504,141.0
16.875,51.673900604248,95.0
16.875,51.9860992431641,67.0
16.875,53.2350006103516,78.0
16.875,58.8550987243652,24.0
16.875,60.1040000915527,83.0
16.875,61.3530006408691,58.0
16.875,64.1630020141602,381.0
16.875,65.4119033813477,540.0
16.875,65.7240982055664,577.0
16.875,66.9730987548828,971.0
17.5,45.1170997619629,98.0
17.5,46.3660011291504,170.0
17.5,50.4249992370605,279.0
17.5,51.673900604248,128.0
17.5,51.9860992431641,107.0
17.5,53.2350006103516,126.0
17.5,60.1040000915527,33.0
17.5,64.1630020141602,353.0
17.5,65.4119033813477,336.0
17.5,65.7240982055664,658.0
17.5,66.9730987548828,700.0
18.125,45.1170997619629,83.0
18.125,46.3660011291504,110.0
18.125,50.4249992370605,189.0
18.125,51.673900604248,135.0
18.125,51.9860992431641,126.0
18.125,53.2350006103516,101.0
18.125,57.2939987182617,-9999.0
18.125,60.1040000915527,22.0
18.125,64.1630020141602,297.0
18.125,65.4119033813477,401.0
18.125,65.7240982055664,404.0
18.125,66.9730987548828,777.0
18.75,45.1170997619629,79.0
18.75,46.3660011291504,86.0
18.75,49.1759986877441,414.0
18.75,50.4249992370605,249.0
18.75,51.673900604248,135.0
18.75,51.9860992431641,100.0
18.75,53.2350006103516,100.0
18.75,64.1630020141602,291.0
18.75,65.4119033813477,374.0
18.75,65.7240982055664,431.0
18.75,66.9730987548828,488.0
18.75,68.2220001220703,1560.0
19.375,46.3660011291504,133.0
19.375,49.1759986877441,748.0
19.375,50.4249992370605,339.0
19.375,51.673900604248,185.0
19.375,51.9860992431641,109.0
19.375,53.2350006103516,89.0
19.375,64.1630020141602,223.0
19.375,65.4119033813477,410.0
19.375,65.7240982055664,403.0
19.375,66.9730987548828,484.0
19.375,68.2220001220703,1000.0
20.0,46.3660011291504,84.0
20.0,49.1759986877441,1994.0
20.0,50.4249992370605,364.0
20.0,51.673900604248,198.0
20.0,51.9860992431641,110.0
20.0,53.2350006103516,179.0
20.0,64.1630020141602,219.0
